Category,Base_Daily_Booking_Rate,Market,Maximum_Capacity,Minimum_Capacity,Name,Picture_URL,Type
Exploration Lab,1250,Pudukkottai - TN,150,12,Outdoor Exploration Lab - Pudukkottai,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/outdoor_lab.png,Large Groups;Scheduled Activity;Outdoor;Conversation Starter;Energizing
Drawing/Watercolor Studio,1200,Pudukkottai - TN,25,2,Drawing/Watercolor Studio - Pudukkottai,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/drawing_watercolor_studio.png,Scheduled Activity;Individuals or Small Groups;Indoor;Outdoor;Quiet;Relaxing
Temporary Terrace,1250,Pudukkottai - TN,250,2,Temporary Terrace - Pudukkottai,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/temp_terrace.png,Large Groups;Come-and-Go;Individuals or Small Groups;Indoor;Outdoor;Conversation Starter;Relaxing
Cooking Classroom,1450,Pudukkottai - TN,250,2,Cooking Classroom - Pudukkottai,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/cooking_classroom.png,Large Groups;Scheduled Activity;Individuals or Small Groups;Indoor;Energizing
Walking Meditation Paths,1150,Pudukkottai - TN,10,2,Walking Meditation Paths - Burbank,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/walking_paths.png,Come-and-Go;Individuals or Small Groups;Outdoor;Quiet;Relaxing
Building Block Room,1175,Pudukkottai - TN,75,2,Building Block Room - Burbank,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/building_block_room.png,Scheduled Activity;Come-and-Go;Individuals or Small Groups;Indoor;Conversation Starter;Energizing
Music Room,1100,Pudukkottai - TN,35,2,Music Room - Burbank,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/music_room.png,Scheduled Activity;Come-and-Go;Individuals or Small Groups;Indoor;Energizing
Sand Drawing Tables,1200,Pudukkottai - TN,25,2,Sand Drawing Tables - Burbank,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/sand_drawing_tables.png,Scheduled Activity;Come-and-Go;Individuals or Small Groups;Indoor;Quiet;Relaxing
Café,1450,Pudukkottai - TN,250,2,Outdoor Café - Burbank,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/cafe_2.png,Large Groups;Come-and-Go;Individuals or Small Groups;Outdoor;Conversation Starter;Relaxing
Exploration Lab,1200,Pudukkottai - TN,50,2,Indoor Exploration Lab - Burbank,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/exploration_lab_1.png,Scheduled Activity;Individuals or Small Groups;Indoor;Conversation Starter;Energizing
Café,1350,Pudukkottai - TN,50,2,Indoor Café - Burbank,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/cafe_1.png,Come-and-Go;Individuals or Small Groups;Indoor;Conversation Starter
Game Room/Arcade,1300,Pudukkottai - TN,200,10,Game Room/Arcade - Burbank,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/game_room_arcade.png,Large Groups;Scheduled Activity;Come-and-Go;Indoor;Conversation Starter;Energizing
Café,1350,Trichy - TN,50,2,Indoor Café - Chicago,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/cafe_1.png,Come-and-Go;Individuals or Small Groups;Indoor;Conversation Starter
Game Room/Arcade,1300,Trichy - TN,200,10,Game Room/Arcade - Chicago,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/game_room_arcade.png,Large Groups;Scheduled Activity;Come-and-Go;Indoor;Conversation Starter;Energizing
Exploration Lab,1250,Trichy - TN,150,12,Outdoor Exploration Lab - Chicago,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/outdoor_lab.png,Large Groups;Scheduled Activity;Outdoor;Conversation Starter;Energizing
Drawing/Watercolor Studio,1200,Trichy - TN,25,2,Drawing/Watercolor Studio - Chicago,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/drawing_watercolor_studio.png,Scheduled Activity;Individuals or Small Groups;Indoor;Outdoor;Quiet;Relaxing
Temporary Terrace,1250,Trichy - TN,250,2,Temporary Terrace - Chicago,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/temp_terrace.png,Large Groups;Come-and-Go;Individuals or Small Groups;Indoor;Outdoor;Conversation Starter;Relaxing
Cooking Classroom,1450,Trichy - TN,250,2,Cooking Classroom - Chicago,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/cooking_classroom.png,Large Groups;Scheduled Activity;Individuals or Small Groups;Indoor;Energizing
Walking Meditation Paths,1150,Trichy - TN,10,2,Walking Meditation Paths - Chicago,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/walking_paths.png,Come-and-Go;Individuals or Small Groups;Outdoor;Quiet;Relaxing
Building Block Room,1175,Trichy - TN,75,2,Building Block Room - Chicago,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/building_block_room.png,Scheduled Activity;Come-and-Go;Individuals or Small Groups;Indoor;Conversation Starter;Energizing
Music Room,1100,Trichy - TN,35,2,Music Room - Chicago,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/music_room.png,Scheduled Activity;Come-and-Go;Individuals or Small Groups;Indoor;Energizing
Sand Drawing Tables,1200,Trichy - TN,25,2,Sand Drawing Tables - Chicago,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/sand_drawing_tables.png,Scheduled Activity;Come-and-Go;Individuals or Small Groups;Indoor;Quiet;Relaxing
Café,1450,Trichy - TN,250,2,Outdoor Café - Chicago,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/cafe_2.png,Large Groups;Come-and-Go;Individuals or Small Groups;Outdoor;Conversation Starter;Relaxing
Exploration Lab,1200,Trichy - TN,50,2,Indoor Exploration Lab - Chicago,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/exploration_lab_1.png,Scheduled Activity;Individuals or Small Groups;Indoor;Conversation Starter;Energizing
Exploration Lab,1250,Thanjavur - TN,150,12,Outdoor Exploration Lab - Denver,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/outdoor_lab.png,Large Groups;Scheduled Activity;Outdoor;Conversation Starter;Energizing
Drawing/Watercolor Studio,1200,Thanjavur - TN,25,2,Drawing/Watercolor Studio - Denver,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/drawing_watercolor_studio.png,Scheduled Activity;Individuals or Small Groups;Indoor;Outdoor;Quiet;Relaxing
Temporary Terrace,1250,Thanjavur - TN,250,2,Temporary Terrace - Denver,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/temp_terrace.png,Large Groups;Come-and-Go;Individuals or Small Groups;Indoor;Outdoor;Conversation Starter;Relaxing
Cooking Classroom,1450,Thanjavur - TN,250,2,Cooking Classroom - Denver,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/cooking_classroom.png,Large Groups;Scheduled Activity;Individuals or Small Groups;Indoor;Energizing
Walking Meditation Paths,1150,Thanjavur - TN,10,2,Walking Meditation Paths - Denver,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/walking_paths.png,Come-and-Go;Individuals or Small Groups;Outdoor;Quiet;Relaxing
Building Block Room,1175,Thanjavur - TN,75,2,Building Block Room - Denver,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/building_block_room.png,Scheduled Activity;Come-and-Go;Individuals or Small Groups;Indoor;Conversation Starter;Energizing
Music Room,1100,Thanjavur - TN,35,2,Music Room - Denver,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/music_room.png,Scheduled Activity;Come-and-Go;Individuals or Small Groups;Indoor;Energizing
Sand Drawing Tables,1200,Thanjavur - TN,25,2,Sand Drawing Tables - Denver,https://s3-us-west-2.amazonaws.com/ztsfdc-demo-files/easy-spaces/sand_drawing_tables.png,Scheduled Activity;Come-and-Go;Individuals or Small Groups;Indoor;Quiet;Relaxing
